State_Name,District_Name,Crop_Year,Season,Crop,Area (Hectares),Production (Metric Tonnes),Rainfall - Kharif (mm),Rainfall - Rabi (mm),Rainfall - Zaid (mm),Rainfall - Whole Year (mm),Latitude,Longitude,__source_file__
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Arhar/Tur,4800.0,800.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Bajra,17700.0,9700.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Cotton(lint),1500.0,3500.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Dry chillies,1200.0,3600.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Groundnut,17700.0,12700.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Horse-gram,200.0,100.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Jowar,1300.0,700.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Korra,300.0,300.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Maize,6400.0,6500.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Mesta,300.0,2000.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Moong(Green Gram),2500.0,1000.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Other Kharif pulses,900.0,400.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Ragi,35800.0,14600.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Rice,95600.0,79700.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Samai,22800.0,10100.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Sesamum,4100.0,600.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
ANDHRA PRADESH,VISAKHAPATANAM,1997,Kharif,Small millets,2000.0,100.0,781.27,252.11,233.05,1266.43,17.6868,83.2185,
