Sl. No.,Commodity,Sub Commodity,Variety,2014-15 - (Rs. per Quintal),2023-24 - (Rs. per Quintal),% increase in MSP in 2023-24 over 2014-15
1,Kharif Crops,Paddy,Common,1360,2183,61
2,Kharif Crops,Paddy,Grade 'A',1400,2203,57
3,Kharif Crops,Jowar,Hybrid,1530,3180,108
4,Kharif Crops,Jowar,Maldandi,1550,3225,108
5,Kharif Crops,Bajra,NA,1250,2500,100
6,Kharif Crops,Ragi,NA,1550,3846,148
7,Kharif Crops,Maize,NA,1310,2090,60
8,Kharif Crops,Tur (Arhar),NA,4350,7000,61
9,Kharif Crops,Moong,NA,4600,8558,86
10,Kharif Crops,Urad,NA,4350,6950,60
11,Kharif Crops,Groundnut,NA,4000,6377,59
12,Kharif Crops,Sunflower Seed,NA,3750,6760,80
13,Kharif Crops,Soyabeen (Black),NA,2500,NA,NA
14,Kharif Crops,Soyabeen (Yellow),NA,2560,4600,80
15,Kharif Crops,Sesamum,NA,4600,8635,88
16,Kharif Crops,Nigerseed,NA,3600,7734,115
17,Kharif Crops,Cotton,Medium Staple,3750,6620,77
18,Kharif Crops,Cotton,Long Staple,4050,7020,73
19,Rabi Crops,Wheat,NA,1450,2275,57
20,Rabi Crops,Barley,NA,1150,1850,61
21,Rabi Crops,Gram,NA,3175,5440,71
22,Rabi Crops,Masur (lentil),NA,3075,6425,109
23,Rabi Crops,Rapeseed & Mustard,NA,3100,5650,82
24,Rabi Crops,Safflower,NA,3050,5800,90
26,Other Crops,Copra (Calender Year),Milling,5550,10860,96
27,Other Crops,Copra (Calender Year),Ball,5830,11750,102
28,Other Crops,Jute,NA,2400,5050,110
