State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Anantapur,"Mousambi(Sweet Lime)",Mousambi,Medium,26/07/2025,400,1600,1200
"Andhra Pradesh",Chittor,Kalikiri,Tomato,Hybrid,FAQ,26/07/2025,2700,3500,3100
"Andhra Pradesh",Chittor,Mulakalacheruvu,Tomato,Local,FAQ,26/07/2025,2000,3800,2700
"Andhra Pradesh",Guntur,Tenali,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",FAQ,26/07/2025,7000,7200,7100
"Andhra Pradesh",Kurnool,Nandyal,Maize,"Deshi Red",FAQ,26/07/2025,2600,2600,2600
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Peas Wet",Other,FAQ,26/07/2025,3000,7500,6000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,26/07/2025,1600,5200,4400
Gujarat,Ahmedabad,Sanad,Paddy(Dhan)(Common),Other,Non-FAQ,26/07/2025,2115,2489,2302
Gujarat,Amreli,Bagasara,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",Non-FAQ,26/07/2025,5325,5500,5412
Gujarat,Dahod,Davgadbaria(Piplod),Paddy(Dhan)(Common),Common,Non-FAQ,26/07/2025,1500,1530,1515
Gujarat,"Devbhumi Dwarka",Bhanvad,Groundnut,G20,Non-FAQ,26/07/2025,4500,5000,4800
Gujarat,Gandhinagar,Kalol,"Castor Seed",Other,FAQ,26/07/2025,6325,6515,6400
Gujarat,Gandhinagar,Kalol,Wheat,Other,FAQ,26/07/2025,2700,2775,2750
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Lemon,Other,FAQ,26/07/2025,2000,2000,2000
Gujarat,"Gir Somnath",Talalagir,Brinjal,Other,FAQ,26/07/2025,3000,5000,4000
Gujarat,Jamnagar,Dhrol,"Cummin Seed(Jeera)",Other,FAQ,26/07/2025,13000,17000,15000
Gujarat,Jamnagar,Dhrol,"Green Gram (Moong)(Whole)",Other,FAQ,26/07/2025,6150,7850,7000
Gujarat,Junagarh,Bhesan,"Bengal Gram(Gram)(Whole)",Other,FAQ,26/07/2025,4500,5875,5575
Gujarat,Junagarh,Bhesan,Cotton,Other,FAQ,26/07/2025,5000,8300,8000
Gujarat,Mehsana,Kadi,"Bajra(Pearl Millet/Cumbu)",Deshi,Non-FAQ,26/07/2025,2000,2450,2350
Gujarat,Mehsana,Kadi,Mustard,Mustard,FAQ,26/07/2025,6525,6525,6525
Gujarat,Morbi,Vankaner,Wheat,Other,FAQ,26/07/2025,2515,2715,2600
Gujarat,Navsari,Bilimora,"Bhindi(Ladies Finger)",Other,FAQ,26/07/2025,1500,2250,1800
Gujarat,Navsari,Bilimora,"Bottle gourd",Other,FAQ,26/07/2025,1500,2000,1800
Gujarat,Navsari,Navsari,Banana,Amruthapani,Medium,26/07/2025,1500,2250,1875
Gujarat,Navsari,Navsari,Cowpea(Veg),"Cowpea (Veg)",FAQ,26/07/2025,4000,5000,4500
Gujarat,Navsari,Navsari,Lemon,Lemon,FAQ,26/07/2025,2500,3000,2750
Gujarat,Patan,Sami,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,26/07/2025,16000,17750,17250
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Cucumbar(Kheera),Cucumbar,FAQ,26/07/2025,200,2500,1350
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Tomato,Tomato,FAQ,26/07/2025,2500,6000,4250
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)","Bottle gourd","Bottle Gourd",FAQ,26/07/2025,500,1000,750
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Brinjal,Brinjal,FAQ,26/07/2025,500,1500,1000
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Coriander(Leaves),Coriander,FAQ,26/07/2025,1500,2500,2000
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Ginger(Green),"Green Ginger",FAQ,26/07/2025,2500,3500,3000
Gujarat,Sabarkantha,Modasa,Wheat,"Lokwan Gujrat",FAQ,26/07/2025,2525,2710,2710
Gujarat,Surat,Nizar,Cotton,Other,Non-FAQ,26/07/2025,7050,7125,7095
Gujarat,Surat,Songadh(Badarpada),"Bhindi(Ladies Finger)",Bhindi,FAQ,26/07/2025,2800,3900,3250
Gujarat,Vadodara(Baroda),Padra,"Bhindi(Ladies Finger)",Other,FAQ,26/07/2025,1500,3500,2500
Gujarat,Vadodara(Baroda),Padra,Cabbage,Other,FAQ,26/07/2025,1250,1750,1500
Gujarat,Vadodara(Baroda),Padra,"Cluster beans",Other,FAQ,26/07/2025,4000,4500,4250
Gujarat,Vadodara(Baroda),Padra,Cucumbar(Kheera),Other,FAQ,26/07/2025,1000,2000,1500
Gujarat,Vadodara(Baroda),Padra,"Little gourd (Kundru)",Other,FAQ,26/07/2025,900,2000,1500
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,26/07/2025,2000,2250,2125
Gujarat,Valsad,Valsad,Banana,Other,Medium,26/07/2025,900,1000,950
Haryana,Bhiwani,Bhiwani,Apple,Apple,Large,26/07/2025,6540,7120,6890
Haryana,Gurgaon,Gurgaon,"Bhindi(Ladies Finger)",Other,FAQ,26/07/2025,2000,4000,3000
Haryana,Gurgaon,Gurgaon,"Bottle gourd","Bottle Gourd",FAQ,26/07/2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Potato,Other,FAQ,26/07/2025,1000,2000,1500
Haryana,Jind,Narwana,Mango,Other,Medium,26/07/2025,6000,7000,6500
Haryana,Jind,Narwana,Pomegranate,Other,Medium,26/07/2025,15000,16000,15500
Haryana,Kaithal,Dhand,Potato,Other,FAQ,26/07/2025,1200,1300,1280
Haryana,Mahendragarh-Narnaul,Narnaul,Apple,Apple,Medium,26/07/2025,5000,5000,5000
Haryana,Mahendragarh-Narnaul,Narnaul,Cabbage,Cabbage,FAQ,26/07/2025,2500,2500,2500
Haryana,Mahendragarh-Narnaul,Narnaul,Cucumbar(Kheera),Cucumbar,FAQ,26/07/2025,1500,4000,3000
Haryana,Mahendragarh-Narnaul,Narnaul,"Mousambi(Sweet Lime)",Mousambi,Medium,26/07/2025,3000,3000,3000
Haryana,Mahendragarh-Narnaul,Narnaul,"Pointed gourd (Parval)","Pointed gourd (Parval)",FAQ,26/07/2025,1000,2500,2000
Haryana,Mahendragarh-Narnaul,Narnaul,"Sponge gourd","Sponge gourd",FAQ,26/07/2025,2500,4000,4000
Haryana,Mahendragarh-Narnaul,Narnaul,Tinda,Tinda,FAQ,26/07/2025,3000,6000,5000
Haryana,Mewat,Tauru,"Bottle gourd",Other,FAQ,26/07/2025,1000,1000,1000
Haryana,Mewat,Tauru,Chikoos(Sapota),Other,Medium,26/07/2025,5000,5000,5000
Haryana,Mewat,Tauru,Tomato,Hybrid,FAQ,26/07/2025,4000,4000,4000
"Himachal Pradesh",Bilaspur,Bilaspur,Cabbage,Cabbage,FAQ,26/07/2025,1500,2200,1800
"Himachal Pradesh",Bilaspur,Bilaspur,Capsicum,Capsicum,FAQ,26/07/2025,6500,8000,7500
"Himachal Pradesh",Chamba,Chamba,"Bottle gourd",Other,FAQ,26/07/2025,4500,5000,4750
"Himachal Pradesh",Chamba,Chamba,Onion,Other,FAQ,26/07/2025,2300,2500,2400
"Himachal Pradesh",Chamba,Chamba,Papaya,Other,Medium,26/07/2025,5000,5500,5250
"Himachal Pradesh",Chamba,Chamba,Potato,Other,FAQ,26/07/2025,1400,1600,1500
"Himachal Pradesh",Hamirpur,Hamirpur,Apple,Other,Medium,26/07/2025,8000,10000,9000
"Himachal Pradesh",Hamirpur,Hamirpur,Cabbage,Other,FAQ,26/07/2025,2000,2500,2200
"Himachal Pradesh",Hamirpur,Hamirpur,Colacasia,Other,FAQ,26/07/2025,3000,3000,3000
"Himachal Pradesh",Hamirpur,Hamirpur,"Mousambi(Sweet Lime)",Other,Medium,26/07/2025,4500,5000,4700
"Himachal Pradesh",Hamirpur,Hamirpur,Pear(Marasebu),Other,Medium,26/07/2025,6500,8000,7200
"Himachal Pradesh",Hamirpur,Hamirpur,"Peas Wet",Other,FAQ,26/07/2025,14000,14000,14000
"Himachal Pradesh",Hamirpur,Hamirpur,Plum,Other,Medium,26/07/2025,8000,10000,9000
"Himachal Pradesh",Hamirpur,Hamirpur,Potato,Desi,Non-FAQ,26/07/2025,1200,1400,1300
"Himachal Pradesh",Kangra,Dharamshala,Cauliflower,Other,FAQ,26/07/2025,5000,6500,5800
"Himachal Pradesh",Kangra,Dharamshala,Cucumbar(Kheera),Other,FAQ,26/07/2025,2500,3500,3000
"Himachal Pradesh",Kangra,Dharamshala,Papaya,Other,Medium,26/07/2025,4000,4800,4400
"Himachal Pradesh",Kangra,Kangra,Apple,Other,Medium,26/07/2025,3000,19000,10000
"Himachal Pradesh",Kangra,Kangra,"Bhindi(Ladies Finger)",Other,FAQ,26/07/2025,3000,4500,4000
"Himachal Pradesh",Kangra,Kangra,Cabbage,Other,FAQ,26/07/2025,1500,3000,2500
"Himachal Pradesh",Kangra,Kangra,Cucumbar(Kheera),Other,FAQ,26/07/2025,1500,2000,1800
"Himachal Pradesh",Kangra,Kangra,"Green Chilli",Other,FAQ,26/07/2025,5500,6000,5700
"Himachal Pradesh",Kangra,Kangra,Guava,Other,Medium,26/07/2025,8000,8500,8200
"Himachal Pradesh",Kangra,Kangra,Lemon,Other,FAQ,26/07/2025,5000,10000,8000
"Himachal Pradesh",Kangra,Kangra,Onion,Other,FAQ,26/07/2025,2200,2500,2300
"Himachal Pradesh",Kangra,Kangra,"Peas cod",Other,FAQ,26/07/2025,12000,13000,12500
"Himachal Pradesh",Kangra,Kangra,Pomegranate,Other,Medium,26/07/2025,10000,12000,11000
"Himachal Pradesh",Kangra,Kangra,Potato,Other,FAQ,26/07/2025,1100,2000,1500
