state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Punjab,Amritsar,Rayya,Green Chilli,Green Chilly,FAQ,2025-07-26,3800,3800,3800
Punjab,Amritsar,Rayya,Potato,Other,FAQ,2025-07-26,1500,1500,1500
Punjab,Amritsar,Rayya,Potato,Other,Non-FAQ,2025-07-26,900,900,900
Punjab,Hoshiarpur,Tanda Urmur,Cauliflower,Other,FAQ,2025-07-26,3500,5000,4000
Punjab,Hoshiarpur,Tanda Urmur,Pineapple,Other,Medium,2025-07-26,4000,5000,4500
Punjab,Tarntaran,Patti,Round gourd,Other,FAQ,2025-07-26,2000,2500,2200
Punjab,Amritsar,Rayya,Onion,Red,Non-FAQ,2025-07-26,1800,1800,1800
Punjab,Hoshiarpur,Tanda Urmur,Capsicum,Other,FAQ,2025-07-26,7000,8000,7500
Punjab,Ludhiana,Sahnewal,Onion,Onion,FAQ,2025-07-26,1800,2000,2000
Punjab,Tarntaran,Patti,Brinjal,Other,FAQ,2025-07-26,4000,5000,4500
Punjab,Tarntaran,Patti,Capsicum,Other,FAQ,2025-07-26,3000,4000,3500
Punjab,Tarntaran,Patti,Cucumbar(Kheera),Other,FAQ,2025-07-26,2500,3000,2800
Punjab,Tarntaran,Patti,Green Chilli,Other,FAQ,2025-07-26,1200,1600,1400
Punjab,Amritsar,Rayya,Bhindi(Ladies Finger),Bhindi,FAQ,2025-07-26,3500,3500,3500
Punjab,Amritsar,Rayya,Tomato,Hybrid,Non-FAQ,2025-07-26,2800,2800,2800
Punjab,Hoshiarpur,Tanda Urmur,Brinjal,Other,FAQ,2025-07-26,3500,4000,3800
Punjab,Hoshiarpur,Tanda Urmur,Cucumbar(Kheera),Other,FAQ,2025-07-26,5000,6000,5500
Punjab,Hoshiarpur,Tanda Urmur,Papaya,Other,Medium,2025-07-26,4000,5000,4500
Punjab,Hoshiarpur,Tanda Urmur,Potato,Other,FAQ,2025-07-26,1200,1400,1300
Punjab,Hoshiarpur,Tanda Urmur,Tinda,Other,FAQ,2025-07-26,4000,5000,4500
Punjab,Ludhiana,Sahnewal,Round gourd,Round gourd,FAQ,2025-07-26,2500,2500,2500
Punjab,Ludhiana,Sahnewal,Tomato,Tomato,FAQ,2025-07-26,4500,4500,4500
Punjab,Tarntaran,Patti,Potato,Other,FAQ,2025-07-26,1000,1200,1100
Punjab,Amritsar,Rayya,Brinjal,Brinjal,FAQ,2025-07-26,2000,2000,2000
