State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Andhra Pradesh,Anantapur,Anantapur,Mousambi(Sweet Lime),Mousambi,Medium,08/07/2025,420.0,2110.0,1500.0
Andhra Pradesh,Anantapur,Hindupur,Dry Chillies,Local,FAQ,08/07/2025,12000.0,12000.0,12000.0
Andhra Pradesh,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,08/07/2025,3400.0,3500.0,3500.0
Andhra Pradesh,Chittor,Madanapalli,Tomato,Other,FAQ,08/07/2025,2000.0,3000.0,2700.0
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,FAQ,08/07/2025,1000.0,2800.0,2000.0
Andhra Pradesh,Chittor,Punganur,Tomato,Hybrid,FAQ,08/07/2025,2000.0,2540.0,2270.0
Andhra Pradesh,Cuddapah,Cuddapah,Turmeric,Bulb,FAQ,08/07/2025,6386.0,10718.0,10718.0
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Amruthapani,Large,08/07/2025,2200.0,2700.0,2400.0
Andhra Pradesh,Kurnool,Yemmiganur,Groundnut,TMV-2,FAQ,08/07/2025,5250.0,6110.0,6110.0
Andhra Pradesh,Nellore,Rapur,Wood,Eucalyptus,FAQ,08/07/2025,5600.0,6000.0,5800.0
Assam,Barpeta,Barpeta Road,Ginger(Green),Green Ginger,Local,08/07/2025,3000.0,3200.0,3200.0
Assam,Cachar,Sonabarighat,Green Chilli,Green Chilly,Local,08/07/2025,7500.0,8000.0,7500.0
Assam,Cachar,Sonabarighat,Pumpkin,Pumpkin,Local,08/07/2025,1500.0,1700.0,1600.0
Assam,Darrang,Balugaon,Bottle gourd,Bottle Gourd,Local,08/07/2025,1333.4,1466.74,1333.4
Assam,Darrang,Balugaon,Brinjal,Brinjal,Local,08/07/2025,1500.0,2000.0,1600.0
Assam,Darrang,Balugaon,Ginger(Green),Green Ginger,Local,08/07/2025,3000.0,4000.0,3600.0
Assam,Goalpara,Simlitola,Bhindi(Ladies Finger),Bhindi,Local,08/07/2025,1000.0,1200.0,1200.0
Assam,Goalpara,Simlitola,Capsicum,Capsicum,Local,08/07/2025,2000.0,2400.0,2400.0
Assam,Goalpara,Simlitola,Ginger(Green),Green Ginger,Local,08/07/2025,3000.0,4000.0,4000.0
Assam,Golaghat,Golaghat,Ginger(Green),Green Ginger,Local,08/07/2025,4000.0,4200.0,4200.0
Assam,Karbi Anglong,Diphu,Lemon,Lemon,Local,08/07/2025,533.6,667.0,533.6
Assam,Kokrajhar,Gossaigaon,Green Chilli,Green Chilly,Local,08/07/2025,6000.0,7000.0,7000.0
Assam,Lakhimpur,Baginadi,Capsicum,Capsicum,Local,08/07/2025,2000.0,2200.0,2000.0
Assam,Lakhimpur,Baginadi,Green Chilli,Green Chilly,Local,08/07/2025,3800.0,4500.0,4200.0
Assam,Lakhimpur,Baginadi,Lemon,Lemon,Local,08/07/2025,533.6,667.0,600.3
Assam,Nalbari,Mukalmua,Brinjal,Brinjal,Local,08/07/2025,2000.0,2400.0,2400.0
Assam,Nalbari,Mukalmua,Pumpkin,Pumpkin,Local,08/07/2025,700.0,800.0,700.0
Assam,Nalbari,Mukalmua,Tomato,Tomato,Local,08/07/2025,3400.0,3600.0,3400.0
Assam,Sibsagar,Sibsagar,Lemon,Lemon,Local,08/07/2025,967.15,1133.9,1133.9
Assam,Sibsagar,Sibsagar,Pumpkin,Pumpkin,Local,08/07/2025,1100.0,1300.0,1300.0
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Bottle gourd,Other,FAQ,08/07/2025,1500.0,2500.0,2200.0
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,08/07/2025,800.0,2400.0,2000.0
Chattisgarh,Balodabazar,Kasdol,Paddy(Dhan)(Common),D.B.,Non-FAQ,08/07/2025,2100.0,2100.0,2100.0
Chattisgarh,Jashpur,Pathalgaon,Wheat,Hybrid,Non-FAQ,08/07/2025,2100.0,2100.0,2100.0
Chattisgarh,Rajnandgaon,Dongargarh,Paddy(Dhan)(Common),D.B.,Non-FAQ,08/07/2025,1900.0,1900.0,1900.0
Goa,North Goa,Mapusa,Onion,Onion,FAQ,08/07/2025,1200.0,1800.0,1500.0
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),Non-FAQ,08/07/2025,4000.0,5660.0,5255.0
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),FAQ,08/07/2025,5000.0,7060.0,6750.0
Gujarat,Amreli,Babra,Cotton,Shanker 6 (B) 30mm FIne,FAQ,08/07/2025,7800.0,8220.0,8010.0
Gujarat,Amreli,Bagasara,Bajra(Pearl Millet/Cumbu),Other,Non-FAQ,08/07/2025,1500.0,1850.0,1675.0
Gujarat,Amreli,Bagasara,Corriander seed,"A-1, Green",FAQ,08/07/2025,5775.0,6175.0,5975.0
Gujarat,Amreli,Bagasara,Cotton,Other,FAQ,08/07/2025,6000.0,7775.0,6887.0
Gujarat,Amreli,Damnagar,Ginger(Green),Green Ginger,FAQ,08/07/2025,3850.0,4550.0,4200.0
Gujarat,Amreli,Rajula,Kabuli Chana(Chickpeas-White),Kabul,FAQ,08/07/2025,5000.0,5500.0,5250.0
Gujarat,Amreli,Rajula,Methi Seeds,Methiseeds,FAQ,08/07/2025,3750.0,3750.0,3750.0
Gujarat,Amreli,Rajula,Mustard,Mustard,FAQ,08/07/2025,6500.0,6500.0,6500.0
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Bhindi(Ladies Finger),Other,FAQ,08/07/2025,3500.0,5000.0,4500.0
Gujarat,Banaskanth,Dhanera,Bajra(Pearl Millet/Cumbu),Hybrid,Non-FAQ,08/07/2025,1750.0,2555.0,2185.0
Gujarat,Banaskanth,Dhanera,Guar Seed(Cluster Beans Seed),Other,FAQ,08/07/2025,4630.0,4630.0,4630.0
Gujarat,Banaskanth,Dhanera,Isabgul (Psyllium),Other,FAQ,08/07/2025,7000.0,7000.0,7000.0
Gujarat,Banaskanth,Dhanera,Methi Seeds,Other,FAQ,08/07/2025,4500.0,4500.0,4500.0
Gujarat,Banaskanth,Dhanera,Taramira,Other,FAQ,08/07/2025,4835.0,4835.0,4835.0
Gujarat,Banaskanth,Lakhani,Wheat,Other,FAQ,08/07/2025,2400.0,2675.0,2537.0
Gujarat,Bharuch,Jambusar(Kaavi),Arhar (Tur/Red Gram)(Whole),Other,FAQ,08/07/2025,6400.0,7000.0,6600.0
Gujarat,Bharuch,Jambusar(Kaavi),Castor Seed,Other,FAQ,08/07/2025,5000.0,5800.0,5400.0
Gujarat,Bharuch,Jambusar(Kaavi),Jowar(Sorghum),Other,FAQ,08/07/2025,3200.0,3600.0,3400.0
Gujarat,Bharuch,Jambusar(Kaavi),Maize,Other,FAQ,08/07/2025,1800.0,2200.0,2000.0
Gujarat,Bhavnagar,Bhavnagar,Castor Seed,Other,FAQ,08/07/2025,6000.0,6425.0,6210.0
Gujarat,Bhavnagar,Bhavnagar,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,08/07/2025,7760.0,10250.0,9005.0
Gujarat,Chhota Udaipur,Bodeliu,Groundnut,Other,FAQ,08/07/2025,5150.0,5350.0,5210.0
Gujarat,Dahod,Dahod,Bajra(Pearl Millet/Cumbu),Other,Non-FAQ,08/07/2025,2000.0,2500.0,2300.0
Gujarat,Dahod,Dahod,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,08/07/2025,5600.0,5600.0,5600.0
Gujarat,Dahod,Dahod,Castor Seed,Other,FAQ,08/07/2025,6000.0,6100.0,6050.0
Gujarat,Dahod,Dahod,Jowar(Sorghum),Jowar ( White),Non-FAQ,08/07/2025,2100.0,2700.0,2500.0
Gujarat,Dahod,Dahod(Veg. Market),Brinjal,Brinjal,FAQ,08/07/2025,2000.0,6500.0,5000.0
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,FAQ,08/07/2025,1000.0,2000.0,1500.0
Gujarat,Dahod,Dahod(Veg. Market),Pointed gourd (Parval),Other,FAQ,08/07/2025,5000.0,6000.0,5500.0
Gujarat,Dahod,Dahod(Veg. Market),Tomato,Tomato,FAQ,08/07/2025,1200.0,2800.0,2500.0
Gujarat,Dahod,Zalod(Sanjeli),Maize,Other,FAQ,08/07/2025,2100.0,2250.0,2250.0
Gujarat,Dahod,Zalod(Sanjeli),Paddy(Dhan)(Common),Other,Non-FAQ,08/07/2025,1950.0,2300.0,2300.0
Gujarat,Gandhinagar,Dehgam(Rekhiyal),Wheat,Other,FAQ,08/07/2025,2450.0,2500.0,2475.0
Gujarat,Gandhinagar,Kalol,Jowar(Sorghum),Other,FAQ,08/07/2025,3000.0,4125.0,3500.0
Gujarat,Gandhinagar,Kalol,Paddy(Dhan)(Common),Other,FAQ,08/07/2025,1750.0,1900.0,1800.0
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Bhindi(Ladies Finger),Other,FAQ,08/07/2025,4000.0,5000.0,4500.0
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Cucumbar(Kheera),Other,FAQ,08/07/2025,3000.0,5000.0,3500.0
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Guar,Other,FAQ,08/07/2025,8000.0,8000.0,8000.0
Gujarat,Gir Somnath,Veraval,Soyabean,Other,FAQ,08/07/2025,3870.0,4070.0,4035.0
Gujarat,Jamnagar,Kalawad,Green Gram (Moong)(Whole),Other,FAQ,08/07/2025,5000.0,7750.0,7120.0
Gujarat,Jamnagar,Kalawad,Wheat,Other,FAQ,08/07/2025,2125.0,2515.0,2350.0
Gujarat,Junagarh,Bhesan,Wheat,Other,FAQ,08/07/2025,2000.0,2550.0,2350.0
Gujarat,Morbi,Halvad,Groundnut,Seed,FAQ,08/07/2025,4500.0,7000.0,5750.0
Gujarat,Morbi,Halvad,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,08/07/2025,5755.0,9980.0,7875.0
Gujarat,Morbi,Halvad,Soanf,Soanf,FAQ,08/07/2025,15000.0,18950.0,18000.0
Gujarat,Morbi,Morbi,Bitter gourd,Other,FAQ,08/07/2025,3500.0,4500.0,4000.0
Gujarat,Morbi,Morbi,Brinjal,Brinjal,FAQ,08/07/2025,3500.0,5000.0,4250.0
Gujarat,Morbi,Morbi,Green Chilli,Green Chilly,FAQ,08/07/2025,4500.0,6000.0,5250.0
Gujarat,Morbi,Morbi,Guar,Gwar,FAQ,08/07/2025,8000.0,9000.0,8500.0
Gujarat,Morbi,Vankaner,Jowar(Sorghum),Other,FAQ,08/07/2025,3250.0,4025.0,3800.0
